1.27 -6.00709 0.774201 3.46709 0.695057 -2.40086e-15 0.7822 6.29534
1.29 -6.06996 0.805545 3.48996 0.688988 -1.19349e-15 0.789368 5.97989
1.31 -6.13339 0.837267 3.51339 0.683064 4.30211e-16 0.79625 5.68719
1.33 -6.19735 0.869349 3.53735 0.677284 5.96745e-16 0.802858 5.41521
1.35 -6.26184 0.901776 3.56184 0.671649 -2.75474e-15 0.809201 5.16217
1.37 -6.32682 0.934532 3.58682 0.666156 -2.55351e-15 0.81529 4.92643
1.39 -6.39228 0.9676 3.61228 0.660803 -1.06859e-15 0.821134 4.70652
1.41 -6.45819 1.00097 3.63819 0.655589 6.10623e-16 0.826742 4.50114
1.43 -6.52455 1.03462 3.66455 0.650512 9.78384e-16 0.832126 4.30908
1.45 -6.59133 1.06854 3.69133 0.645568 4.71845e-16 0.837293 4.12927
1.47 -6.65851 1.10273 3.71851 0.640755 -1.81799e-15 0.842253 3.96073
1.49 -6.72608 1.13715 3.74608 0.636071 -8.25728e-16 0.847014 3.80258
1.51 -6.79403 1.17182 3.77403 0.631512 -1.51268e-15 0.851586 3.65401
1.53 -6.86233 1.2067 3.80233 0.627075 -1.09635e-15 0.855976 3.51429
1.55 -6.93098 1.24181 3.83098 0.622757 3.04617e-15 0.860193 3.38275
1.57 -6.99996 1.27711 3.85996 0.618556 1.7486e-15 0.864243 3.25879
1.59 -7.06925 1.31261 3.88925 0.614467 1.52656e-16 0.868135 3.14185
1.61 -7.13885 1.34829 3.91885 0.610489 -1.17961e-15 0.871875 3.03142
1.63 -7.20875 1.38414 3.94875 0.606617 -2.84495e-16 0.875471 2.92705
1.65 -7.27893 1.42017 3.97893 0.602849 -5.13478e-16 0.878927 2.82831
1.67 -7.34937 1.45635 4.00937 0.599182 -1.17961e-15 0.882252 2.7348
1.69 -7.42008 1.49269 4.04008 0.595612 7.07767e-16 0.88545 2.64618
1.71 -7.49104 1.52917 4.07104 0.592137 7.63278e-16 0.888528 2.56211
1.73 -7.56224 1.5658 4.10224 0.588755 1.94289e-16 0.89149 2.48229
1.75 -7.63368 1.60255 4.13368 0.585461 6.245e-16 0.894342 2.40644
1.77 -7.70534 1.63943 4.16534 0.582253 7.77156e-16 0.897089 2.33432
1.79 -7.77721 1.67643 4.19721 0.579129 4.57967e-16 0.899735 2.26567
1.81 -7.84929 1.71354 4.22929 0.576087 -7.63278e-16 0.902285 2.20028
1.83 -7.92157 1.75077 4.26157 0.573122 1.60982e-15 0.904743 2.13795
1.85 -7.99405 1.7881 4.29405 0.570234 2.498e-16 0.907113 2.0785
1.87 -8.06671 1.82553 4.32671 0.567419 -1.38778e-17 0.909399 2.02174
1.89 -8.13955 1.86306 4.35955 0.564675 1.65146e-15 0.911605 1.96752
1.91 -8.21256 1.90067 4.39256 0.562 9.71445e-16 0.913734 1.91569
1.93 -8.28575 1.93838 4.42575 0.559392 5.20417e-16 0.915789 1.86611
1.95 -8.35909 1.97617 4.45909 0.556849 2.22045e-16 0.917774 1.81865
1.97 -8.43259 2.01404 4.49259 0.554368 -3.88578e-16 0.919691 1.77319
1.99 -8.50624 2.05198 4.52624 0.551948 -2.91434e-16 0.921544 1.72963
